scenario,generator,f1_mean,f1_std,auc_roc_mean,auc_roc_std,auc_pr_mean,auc_pr_std,disparate_impact_mean,disparate_impact_std,statistical_parity_difference_mean,statistical_parity_difference_std,equal_opportunity_difference_mean,equal_opportunity_difference_std,average_absolute_odds_difference_mean,average_absolute_odds_difference_std
S1,Baseline,0.6358,0.0109,0.7276,0.0108,0.7052,0.0167,0.4849,0.0396,0.2763,0.0274,0.3059,0.0506,0.3059,0.0506
S2,Baseline,0.6233,0.0125,0.7208,0.0131,0.6953,0.017,0.8151,0.1074,0.0856,0.0524,0.1008,0.0634,0.1083,0.0564
S3,CTGAN,0.5966,0.0352,0.712,0.0112,0.6845,0.0141,0.3857,0.1163,0.31,0.0633,0.3521,0.081,0.3521,0.081
S3,GaussianCopula,0.6154,0.035,0.7257,0.0135,0.702,0.0186,0.4126,0.091,0.2961,0.048,0.338,0.0617,0.338,0.0617
S3,TVAE,0.6428,0.0124,0.7269,0.0121,0.7043,0.0191,0.4823,0.0581,0.288,0.0377,0.3171,0.0462,0.3171,0.0462
S3,TabDDPM,0.4306,0.3014,0.6393,0.1382,0.6203,0.1302,0.4353,0.1781,0.1884,0.118,0.2017,0.1405,0.2091,0.1347
S4,CTGAN,0.6229,0.0282,0.718,0.0118,0.6921,0.0155,0.4029,0.0948,0.3253,0.0652,0.3586,0.0774,0.3589,0.0771
S4,GaussianCopula,0.6228,0.0249,0.7254,0.0132,0.7006,0.018,0.4208,0.087,0.3011,0.0464,0.3408,0.0663,0.3408,0.0663
S4,TVAE,0.6407,0.0117,0.7269,0.011,0.7041,0.0175,0.5029,0.0444,0.2716,0.0338,0.2941,0.0597,0.2941,0.0597
S4,TabDDPM,0.4484,0.2989,0.6428,0.1307,0.6258,0.1266,0.4997,0.0362,0.1931,0.1307,0.2107,0.1487,0.2107,0.1487
S5,CTGAN,0.5865,0.0464,0.7023,0.0153,0.674,0.0149,0.8314,0.0965,0.0694,0.0405,0.0789,0.0483,0.0967,0.0526
S5,GaussianCopula,0.6006,0.045,0.7219,0.0158,0.6944,0.0209,0.7377,0.1201,0.1166,0.0595,0.1339,0.0676,0.1352,0.066
S5,TVAE,0.6322,0.013,0.7192,0.0144,0.692,0.0197,0.8333,0.1134,0.0798,0.0571,0.0897,0.0579,0.103,0.0519
S5,TabDDPM,0.4247,0.3055,0.6382,0.1218,0.6179,0.1263,0.324,0.1488,0.2636,0.2059,0.2988,0.2397,0.2988,0.2397
